Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
632,43.0,52.0,45.4,
633,43.0,51.0,45.44,
634,43.0,54.0,45.76,
635,43.0,51.0,44.82,
636,43.0,53.0,46.0,
637,43.0,54.0,44.9,
638,43.0,54.0,45.74,
639,43.0,53.0,45.5,
640,43.0,52.0,46.18,
641,43.0,53.0,45.82,
642,43.0,51.0,45.98,
643,43.0,52.0,45.16,
644,43.0,54.0,45.7,
645,43.0,51.0,45.76,
646,43.0,51.0,45.8,
647,43.0,53.0,45.72,
648,43.0,55.0,45.56,
649,43.0,49.0,45.56,
650,43.0,52.0,45.58,
651,43.0,54.0,45.36,
652,43.0,51.0,45.68,
653,43.0,54.0,45.98,
654,43.0,53.0,45.6,
655,43.0,53.0,45.52,
656,43.0,55.0,45.86,
657,43.0,55.0,45.76,
658,43.0,49.0,45.44,
659,43.0,53.0,45.74,
660,43.0,50.0,45.0,
661,43.0,56.0,45.66,
662,43.0,52.0,45.78,
663,43.0,50.0,45.64,
664,43.0,54.0,45.88,
665,43.0,52.0,46.02,
666,43.0,52.0,45.88,
667,43.0,49.0,45.28,
668,43.0,51.0,45.94,
669,43.0,54.0,45.62,
670,43.0,53.0,45.92,
671,43.0,54.0,46.4,
672,43.0,53.0,46.12,
673,43.0,53.0,45.76,
674,43.0,52.0,46.12,
675,43.0,51.0,45.52,
676,43.0,53.0,45.32,
677,43.0,52.0,45.7,
678,43.0,54.0,45.42,
679,43.0,51.0,45.54,
680,43.0,52.0,45.94,
681,43.0,49.0,45.58,
682,43.0,53.0,46.36,
683,43.0,52.0,45.74,
684,43.0,51.0,45.56,
685,43.0,52.0,46.02,
686,43.0,52.0,46.0,
687,43.0,51.0,44.94,
688,43.0,51.0,45.24,
689,43.0,51.0,45.4,
690,43.0,52.0,45.18,
691,43.0,51.0,45.34,
692,43.0,52.0,45.88,
693,43.0,51.0,45.46,
694,43.0,52.0,45.1,
695,43.0,52.0,44.98,
696,43.0,52.0,45.32,
697,43.0,56.0,45.46,
698,43.0,50.0,44.78,
699,43.0,52.0,45.32,
700,43.0,56.0,45.66,
701,43.0,50.0,44.9,
702,43.0,52.0,45.46,
703,43.0,54.0,46.04,
704,43.0,52.0,45.76,
705,43.0,51.0,45.16,
706,43.0,51.0,44.84,
707,43.0,56.0,45.62,
708,43.0,52.0,45.12,
709,43.0,51.0,45.22,
710,43.0,52.0,44.9,
